ds,category,y
2013-01-10,78,2.0
2013-01-10,79,2.0
2013-01-10,82,7.0
2013-01-10,83,4.0
2013-01-11,2,18.0
2013-01-11,3,4.0
2013-01-11,4,6.0
2013-01-11,5,6.0
2013-01-11,6,23.0
2013-01-11,9,14.0
2013-01-11,11,7.0
2013-01-11,14,2.0
2013-01-11,15,6.0
2013-01-11,19,453.0
2013-01-11,21,42.0
2013-01-11,22,23.0
2013-01-11,23,296.0
2013-01-11,25,9.0
2013-01-11,28,397.0
2013-01-11,29,58.0
2013-01-11,30,498.0
2013-01-11,31,15.0
2013-01-11,32,11.0
2013-01-11,33,12.0
2013-01-11,35,21.0
2013-01-11,37,298.0
2013-01-11,38,60.0
2013-01-11,39,1.0
2013-01-11,40,846.0
2013-01-11,41,39.0
2013-01-11,43,28.0
2013-01-11,44,1.0
2013-01-11,45,6.0
2013-01-11,49,46.0
2013-01-11,54,3.0
2013-01-11,55,386.0
2013-01-11,56,5.0
2013-01-11,57,29.0
2013-01-11,58,18.0
2013-01-11,59,12.0
2013-01-11,61,4.0
2013-01-11,62,36.0
2013-01-11,63,43.0
2013-01-11,64,40.0
2013-01-11,65,70.0
2013-01-11,66,5.0
2013-01-11,67,52.0
2013-01-11,69,35.0
2013-01-11,70,23.0
2013-01-11,71,316.0
2013-01-11,72,27.0
2013-01-11,73,14.0
2013-01-11,75,54.0
2013-01-11,76,1.0
2013-01-11,77,2.0
2013-01-11,79,1.0
2013-01-11,82,14.0
2013-01-11,83,3.0
2013-01-12,2,41.0
2013-01-12,3,48.0
2013-01-12,4,2.0
2013-01-12,5,17.0
2013-01-12,6,29.0
2013-01-12,11,10.0
2013-01-12,12,88.0
2013-01-12,14,10.0
2013-01-12,15,5.0
2013-01-12,19,316.0
2013-01-12,20,156.0
2013-01-12,21,43.0
2013-01-12,22,42.0
2013-01-12,23,227.0
2013-01-12,25,43.0
2013-01-12,28,218.0
2013-01-12,29,32.0
2013-01-12,30,622.0
2013-01-12,31,18.0
2013-01-12,32,11.0
2013-01-12,33,16.0
2013-01-12,35,60.0
2013-01-12,37,337.0
2013-01-12,38,64.0
2013-01-12,40,996.0
2013-01-12,41,65.0
2013-01-12,43,37.0
2013-01-12,45,12.0
2013-01-12,49,13.0
2013-01-12,54,3.0
2013-01-12,55,416.0
2013-01-12,56,9.0
2013-01-12,57,39.0
2013-01-12,58,23.0
2013-01-12,59,6.0
2013-01-12,60,2.0
2013-01-12,61,4.0
2013-01-12,62,50.0
2013-01-12,63,65.0
2013-01-12,64,38.0
2013-01-12,65,66.0
2013-01-12,66,27.0
2013-01-12,67,65.0
2013-01-12,69,63.0
2013-01-12,70,34.0
2013-01-12,71,351.0
2013-01-12,72,54.0
2013-01-12,73,15.0
2013-01-12,75,57.0
2013-01-12,76,8.0
2013-01-12,77,1.0
2013-01-12,78,3.0
2013-01-12,79,1.0
2013-01-12,82,3.0
2013-01-12,83,7.0
2013-01-13,2,35.0
2013-01-13,3,14.0
2013-01-13,4,4.0
2013-01-13,5,25.0
2013-01-13,6,27.0
2013-01-13,11,12.0
2013-01-13,13,1.0
2013-01-13,14,9.0
2013-01-13,15,8.0
2013-01-13,19,269.0
2013-01-13,21,125.0
2013-01-13,22,48.0
2013-01-13,23,144.0
2013-01-13,25,30.0
2013-01-13,28,200.0
2013-01-13,29,24.0
2013-01-13,30,735.0
2013-01-13,33,9.0
2013-01-13,35,21.0
2013-01-13,37,196.0
2013-01-13,38,53.0
2013-01-13,40,1132.0
2013-01-13,41,78.0
2013-01-13,43,67.0
2013-01-13,45,10.0
2013-01-13,49,14.0
2013-01-13,55,474.0
2013-01-13,56,8.0
2013-01-13,57,50.0
2013-01-13,58,7.0
2013-01-13,59,23.0
2013-01-13,60,5.0
2013-01-13,61,4.0
2013-01-13,62,60.0
2013-01-13,63,55.0
2013-01-13,64,21.0
2013-01-13,65,64.0
2013-01-13,66,40.0
2013-01-13,67,62.0
2013-01-13,69,20.0
2013-01-13,70,61.0
2013-01-13,71,2.0
2013-01-13,72,27.0
2013-01-13,73,6.0
2013-01-13,75,101.0
2013-01-13,77,16.0
2013-01-13,79,1.0
2013-01-13,81,5.0
2013-01-13,82,54.0
2013-01-13,83,19.0
2013-01-14,2,29.0
2013-01-14,3,9.0
2013-01-14,4,4.0
2013-01-14,5,8.0
2013-01-14,6,24.0
2013-01-14,9,6.0
2013-01-14,11,10.0
2013-01-14,13,1.0
2013-01-14,14,2.0
2013-01-14,15,5.0
2013-01-14,19,192.0
2013-01-14,21,59.0
2013-01-14,22,25.0
2013-01-14,23,72.0
2013-01-14,25,19.0
2013-01-14,28,108.0
2013-01-14,29,13.0
2013-01-14,30,437.0
2013-01-14,33,8.0
2013-01-14,35,6.0
2013-01-14,37,154.0
2013-01-14,38,32.0
2013-01-14,40,570.0
2013-01-14,41,40.0
2013-01-14,43,37.0
2013-01-14,45,4.0
2013-01-14,49,26.0
2013-01-14,55,254.0
2013-01-14,56,1.0
2013-01-14,57,26.0
2013-01-14,58,4.0
2013-01-14,59,13.0
2013-01-14,60,7.0
2013-01-14,61,6.0
2013-01-14,62,28.0
2013-01-14,63,17.0
2013-01-14,64,19.0
2013-01-14,65,29.0
2013-01-14,66,14.0
2013-01-14,67,48.0
2013-01-14,69,5.0
2013-01-14,70,18.0
2013-01-14,72,27.0
2013-01-14,73,25.0
2013-01-14,75,96.0
2013-01-14,77,3.0
2013-01-14,79,1.0
2013-01-14,81,4.0
2013-01-14,82,30.0
2013-01-14,83,20.0
2013-01-15,2,31.0
2013-01-15,3,10.0
2013-01-15,4,8.0
2013-01-15,5,13.0
2013-01-15,6,17.0
2013-01-15,9,15.0
2013-01-15,11,9.0
2013-01-15,13,1.0
2013-01-15,14,3.0
2013-01-15,15,6.0
2013-01-15,19,352.0
2013-01-15,21,57.0
2013-01-15,22,22.0
2013-01-15,23,109.0
2013-01-15,25,5.0
2013-01-15,28,107.0
2013-01-15,29,12.0
2013-01-15,30,510.0
2013-01-15,33,6.0
2013-01-15,35,13.0
2013-01-15,37,116.0
2013-01-15,38,34.0
2013-01-15,40,705.0
2013-01-15,41,38.0
2013-01-15,43,40.0
2013-01-15,45,5.0
2013-01-15,49,33.0
2013-01-15,55,350.0
2013-01-15,56,7.0
2013-01-15,57,38.0
2013-01-15,58,2.0
2013-01-15,59,13.0
2013-01-15,60,5.0
2013-01-15,61,3.0
2013-01-15,62,26.0
2013-01-15,63,18.0
2013-01-15,64,16.0
2013-01-15,65,22.0
2013-01-15,66,11.0
2013-01-15,67,80.0
2013-01-15,69,13.0
2013-01-15,70,32.0
2013-01-15,71,1.0
2013-01-15,72,17.0
2013-01-15,73,39.0
2013-01-15,75,95.0
2013-01-15,77,15.0
2013-01-15,81,9.0
2013-01-15,82,26.0
2013-01-15,83,22.0
2013-01-16,2,37.0
2013-01-16,3,10.0
2013-01-16,4,8.0
2013-01-16,5,17.0
2013-01-16,6,18.0
2013-01-16,9,12.0
2013-01-16,11,10.0
2013-01-16,13,2.0
2013-01-16,14,2.0
2013-01-16,15,4.0
2013-01-16,18,1.0
2013-01-16,19,274.0
2013-01-16,21,51.0
2013-01-16,22,25.0
2013-01-16,23,108.0
2013-01-16,25,19.0
2013-01-16,28,116.0
2013-01-16,29,3.0
2013-01-16,30,447.0
2013-01-16,33,10.0
2013-01-16,35,11.0
2013-01-16,37,132.0
2013-01-16,38,32.0
2013-01-16,40,690.0
2013-01-16,41,43.0
2013-01-16,43,55.0
2013-01-16,45,13.0
2013-01-16,49,31.0
2013-01-16,55,317.0
2013-01-16,56,7.0
2013-01-16,57,31.0
2013-01-16,58,12.0
2013-01-16,59,22.0
2013-01-16,60,9.0
2013-01-16,61,2.0
2013-01-16,62,37.0
2013-01-16,63,21.0
2013-01-16,64,12.0
2013-01-16,65,45.0
2013-01-16,66,17.0
2013-01-16,67,47.0
2013-01-16,69,7.0
2013-01-16,70,32.0
2013-01-16,72,17.0
2013-01-16,73,29.0
2013-01-16,75,116.0
2013-01-16,77,8.0
2013-01-16,79,3.0
2013-01-16,81,4.0
2013-01-16,82,42.0
2013-01-16,83,15.0
2013-01-17,2,35.0
2013-01-17,3,8.0
2013-01-17,4,7.0
2013-01-17,5,8.0
2013-01-17,6,24.0
2013-01-17,9,9.0
2013-01-17,11,6.0
2013-01-17,13,6.0
2013-01-17,14,2.0
2013-01-17,15,7.0
2013-01-17,19,272.0
2013-01-17,21,72.0
2013-01-17,22,22.0
2013-01-17,23,107.0
2013-01-17,25,17.0
2013-01-17,28,92.0
2013-01-17,29,4.0
2013-01-17,30,467.0
2013-01-17,33,5.0
2013-01-17,35,3.0
2013-01-17,37,160.0
2013-01-17,38,42.0
2013-01-17,40,743.0
2013-01-17,41,49.0
2013-01-17,43,36.0
2013-01-17,45,11.0
2013-01-17,49,28.0
2013-01-17,55,301.0
2013-01-17,56,8.0
2013-01-17,57,33.0
2013-01-17,58,5.0
2013-01-17,59,19.0
2013-01-17,60,4.0
2013-01-17,61,2.0
2013-01-17,62,36.0
2013-01-17,63,26.0
2013-01-17,64,25.0
2013-01-17,65,64.0
2013-01-17,66,8.0
2013-01-17,67,50.0
2013-01-17,68,1.0
2013-01-17,69,11.0
2013-01-17,70,27.0
2013-01-17,72,16.0
2013-01-17,73,24.0
2013-01-17,75,98.0
2013-01-17,77,11.0
2013-01-17,79,2.0
2013-01-17,81,6.0
2013-01-17,82,69.0
2013-01-17,83,8.0
2013-01-18,2,35.0
2013-01-18,3,17.0
2013-01-18,4,8.0
2013-01-18,5,13.0
2013-01-18,6,30.0
2013-01-18,9,13.0
2013-01-18,11,15.0
2013-01-18,13,1.0
2013-01-18,14,2.0
2013-01-18,15,5.0
2013-01-18,19,293.0
2013-01-18,21,81.0
2013-01-18,22,30.0
2013-01-18,23,137.0
2013-01-18,25,23.0
2013-01-18,28,170.0
2013-01-18,29,-5.0
2013-01-18,30,515.0
2013-01-18,33,7.0
2013-01-18,35,7.0
2013-01-18,37,174.0
2013-01-18,38,37.0
2013-01-18,40,871.0
2013-01-18,41,61.0
2013-01-18,43,32.0
2013-01-18,45,7.0
2013-01-18,49,55.0
2013-01-18,55,369.0
2013-01-18,56,7.0
2013-01-18,57,47.0
2013-01-18,58,10.0
2013-01-18,59,14.0
2013-01-18,60,4.0
2013-01-18,61,3.0
2013-01-18,62,51.0
2013-01-18,63,37.0
2013-01-18,64,47.0
2013-01-18,65,82.0
2013-01-18,66,9.0
2013-01-18,67,58.0
2013-01-18,69,15.0
2013-01-18,70,46.0
2013-01-18,72,28.0
2013-01-18,73,31.0
2013-01-18,75,97.0
2013-01-18,77,25.0
2013-01-18,79,1.0
2013-01-18,81,5.0
2013-01-18,82,48.0
2013-01-18,83,14.0
2013-01-19,2,55.0
2013-01-19,3,17.0
2013-01-19,4,13.0
2013-01-19,5,23.0
2013-01-19,6,40.0
2013-01-19,11,15.0
2013-01-19,13,3.0
2013-01-19,14,7.0
2013-01-19,15,8.0
2013-01-19,19,467.0
2013-01-19,21,165.0
2013-01-19,22,57.0
2013-01-19,23,198.0
2013-01-19,25,34.0
2013-01-19,28,240.0
2013-01-19,29,13.0
2013-01-19,30,913.0
2013-01-19,33,15.0
2013-01-19,35,16.0
2013-01-19,37,269.0
2013-01-19,38,68.0
2013-01-19,40,1602.0
2013-01-19,41,78.0
2013-01-19,43,60.0
2013-01-19,45,23.0
2013-01-19,49,39.0
2013-01-19,55,635.0
2013-01-19,56,10.0
2013-01-19,57,81.0
2013-01-19,58,14.0
2013-01-19,59,40.0
2013-01-19,60,3.0
2013-01-19,61,4.0
2013-01-19,62,68.0
2013-01-19,63,59.0
2013-01-19,64,36.0
2013-01-19,65,79.0
2013-01-19,66,50.0
2013-01-19,67,109.0
2013-01-19,68,1.0
2013-01-19,69,22.0
2013-01-19,70,95.0
2013-01-19,71,1.0
2013-01-19,72,45.0
2013-01-19,73,20.0
2013-01-19,75,122.0
2013-01-19,77,18.0
2013-01-19,79,3.0
2013-01-19,81,5.0
2013-01-19,82,49.0
2013-01-19,83,37.0
2013-01-20,2,54.0
2013-01-20,3,12.0
2013-01-20,4,9.0
2013-01-20,5,21.0
2013-01-20,6,41.0
2013-01-20,11,9.0
2013-01-20,13,1.0
2013-01-20,14,4.0
2013-01-20,15,14.0
2013-01-20,19,395.0
2013-01-20,21,139.0
2013-01-20,22,43.0
2013-01-20,23,158.0
2013-01-20,25,20.0
2013-01-20,28,198.0
2013-01-20,29,9.0
2013-01-20,30,866.0
2013-01-20,33,12.0
2013-01-20,35,9.0
2013-01-20,37,221.0
2013-01-20,38,48.0
2013-01-20,40,1370.0
2013-01-20,41,78.0
2013-01-20,43,58.0
2013-01-20,45,18.0
2013-01-20,49,25.0
2013-01-20,55,474.0
2013-01-20,56,9.0
2013-01-20,57,67.0
2013-01-20,58,5.0
2013-01-20,59,20.0
2013-01-20,60,3.0
2013-01-20,61,9.0
2013-01-20,62,56.0
2013-01-20,63,39.0
2013-01-20,64,27.0
2013-01-20,65,68.0
2013-01-20,66,34.0
2013-01-20,67,94.0
2013-01-20,69,17.0
2013-01-20,70,71.0
2013-01-20,72,64.0
2013-01-20,73,20.0
2013-01-20,75,100.0
2013-01-20,77,14.0
2013-01-20,79,3.0
2013-01-20,81,3.0
2013-01-20,82,54.0
2013-01-20,83,28.0
2013-01-21,2,42.0
2013-01-21,3,13.0
2013-01-21,4,7.0
2013-01-21,5,7.0
2013-01-21,6,18.0
2013-01-21,9,5.0
2013-01-21,11,11.0
2013-01-21,13,4.0
2013-01-21,15,6.0
2013-01-21,19,190.0
2013-01-21,21,51.0
2013-01-21,22,29.0
2013-01-21,23,75.0
2013-01-21,25,7.0
2013-01-21,28,114.0
2013-01-21,29,10.0
2013-01-21,30,468.0
2013-01-21,33,9.0
2013-01-21,35,7.0
2013-01-21,37,100.0
2013-01-21,38,33.0
2013-01-21,40,694.0
2013-01-21,41,28.0
2013-01-21,43,24.0
2013-01-21,45,7.0
2013-01-21,49,32.0
2013-01-21,55,213.0
2013-01-21,56,10.0
2013-01-21,57,30.0
2013-01-21,58,6.0
2013-01-21,59,9.0
2013-01-21,60,2.0
2013-01-21,61,2.0
2013-01-21,62,19.0
2013-01-21,63,17.0
2013-01-21,64,17.0
2013-01-21,65,31.0
2013-01-21,66,18.0
2013-01-21,67,69.0
2013-01-21,69,16.0
2013-01-21,70,14.0
2013-01-21,72,11.0
2013-01-21,73,13.0
