date,category,shop_id,item_id,item_cnt_day
2013-01-02,49,925,490938,64.0
2013-01-02,55,9643,3017031,317.0
2013-01-02,56,213,53071,6.0
2013-01-02,57,1549,623036,51.0
2013-01-02,58,282,57045,13.0
2013-01-02,59,604,160746,26.0
2013-01-02,60,79,13609,2.0
2013-01-02,61,56,41947,2.0
2013-01-02,62,684,403278,31.0
2013-01-02,63,666,442774,32.0
2013-01-02,64,653,380088,25.0
2013-01-02,65,1445,619071,47.0
2013-01-02,66,347,227551,20.0
2013-01-02,67,2900,621464,101.0
2013-01-02,68,25,5417,1.0
2013-01-02,69,295,141463,11.0
2013-01-02,70,738,288690,28.0
2013-01-02,72,517,431082,22.0
2013-01-02,73,770,31966,34.0
2013-01-02,75,1469,351660,80.0
2013-01-02,77,373,32565,17.0
2013-01-02,79,32,35434,2.0
2013-01-02,81,81,80094,10.0
2013-01-02,82,530,253640,46.0
2013-01-02,83,321,220891,18.0
2013-01-03,2,594,139091,18.0
2013-01-03,3,266,91497,7.0
2013-01-03,4,381,69641,9.0
2013-01-03,5,190,50319,9.0
2013-01-03,6,918,226976,25.0
2013-01-03,9,24,22735,8.0
2013-01-03,11,268,101009,8.0
2013-01-03,13,240,40004,6.0
2013-01-03,14,73,33515,3.0
2013-01-03,15,152,28675,4.0
2013-01-03,19,8418,1278646,283.0
2013-01-03,21,2732,578827,78.0
2013-01-03,22,570,109891,18.0
2013-01-03,23,4791,604455,164.0
2013-01-03,25,726,125209,19.0
2013-01-03,28,4487,773824,162.0
2013-01-03,29,188,52176,11.0
2013-01-03,30,15530,2904853,544.0
2013-01-03,33,200,39888,5.0
2013-01-03,35,525,93150,21.0
2013-01-03,37,4862,2094459,153.0
2013-01-03,38,1367,634337,45.0
2013-01-03,40,31932,13656461,1044.0
2013-01-03,41,1515,567191,43.0
2013-01-03,43,1537,559248,44.0
2013-01-03,45,424,3453,12.0
2013-01-03,49,1396,736545,67.0
2013-01-03,55,14323,4180773,453.0
2013-01-03,56,273,34983,8.0
2013-01-03,57,1985,697705,58.0
2013-01-03,58,128,32435,5.0
2013-01-03,59,461,115503,14.0
2013-01-03,60,96,30709,3.0
2013-01-03,61,50,40454,2.0
2013-01-03,62,1250,501413,34.0
2013-01-03,63,879,531627,36.0
2013-01-03,64,720,376106,26.0
2013-01-03,65,2070,859628,80.0
2013-01-03,66,269,171388,13.0
2013-01-03,67,2288,512299,76.0
2013-01-03,68,31,5421,1.0
2013-01-03,69,613,236906,18.0
2013-01-03,70,654,278979,34.0
2013-01-03,71,27,13598,1.0
2013-01-03,72,330,205205,10.0
2013-01-03,73,896,30433,37.0
2013-01-03,75,1653,312331,64.0
2013-01-03,77,348,45383,11.0
2013-01-03,79,65,53151,5.0
2013-01-03,81,118,40056,4.0
2013-01-03,82,498,173550,29.0
2013-01-03,83,366,198803,14.0
2013-01-04,2,418,80727,14.0
2013-01-04,3,220,78426,7.0
2013-01-04,4,114,15060,2.0
2013-01-04,5,376,50349,9.0
2013-01-04,6,159,58665,7.0
2013-01-04,9,36,34104,6.0
2013-01-04,11,101,53938,5.0
2013-01-04,13,110,13334,2.0
2013-01-04,14,59,6665,1.0
2013-01-04,15,74,28696,4.0
2013-01-04,19,5987,876748,203.0
2013-01-04,21,1396,302270,40.0
2013-01-04,22,400,62762,13.0
2013-01-04,23,3088,395271,98.0
2013-01-04,25,281,52730,8.0
2013-01-04,28,4084,652695,163.0
2013-01-04,29,167,50190,7.0
2013-01-04,30,12777,2563683,477.0
2013-01-04,33,237,55850,8.0
2013-01-04,35,402,81501,19.0
2013-01-04,37,4037,1843833,126.0
2013-01-04,38,544,307566,14.0
2013-01-04,40,20548,8772870,616.0
2013-01-04,41,1025,452704,31.0
2013-01-04,43,1086,341184,29.0
2013-01-04,45,124,1004,4.0
2013-01-04,49,639,319121,21.0
2013-01-04,55,7761,2325023,241.0
2013-01-04,56,87,12081,3.0
2013-01-04,57,1170,479316,39.0
2013-01-04,58,293,41358,9.0
2013-01-04,59,399,145910,16.0
2013-01-04,60,42,14839,2.0
2013-01-04,61,123,62915,3.0
2013-01-04,62,911,335810,34.0
2013-01-04,63,845,367743,26.0
2013-01-04,64,249,177045,11.0
2013-01-04,65,895,354736,34.0
2013-01-04,66,288,104152,7.0
2013-01-04,67,681,144880,25.0
2013-01-04,68,25,5426,1.0
2013-01-04,69,309,151759,10.0
2013-01-04,70,448,138955,18.0
2013-01-04,72,255,185376,9.0
2013-01-04,73,561,28220,32.0
2013-01-04,75,1796,358737,70.0
2013-01-04,77,113,1972,3.0
2013-01-04,79,93,53151,3.0
2013-01-04,81,176,53399,6.0
2013-01-04,82,450,133510,22.0
2013-01-04,83,398,242974,16.0
2013-01-05,2,500,87806,14.0
2013-01-05,3,239,91497,8.0
2013-01-05,4,367,75293,11.0
2013-01-05,5,588,83805,15.0
2013-01-05,6,428,126449,16.0
2013-01-05,9,12,11365,10.0
2013-01-05,11,208,94249,9.0
2013-01-05,14,150,40184,4.0
2013-01-05,15,89,9722,2.0
2013-01-05,19,9444,1619742,339.0
2013-01-05,21,3505,658755,106.0
2013-01-05,22,1137,182200,32.0
2013-01-05,23,5275,624998,165.0
2013-01-05,25,789,177865,27.0
2013-01-05,28,4678,785167,171.0
2013-01-05,29,109,37153,6.0
2013-01-05,30,19519,3789833,684.0
2013-01-05,31,2090,228755,54.0
2013-01-05,33,262,63831,9.0
2013-01-05,35,428,64042,17.0
2013-01-05,37,9422,4368553,303.0
2013-01-05,38,1360,653629,40.0
2013-01-05,40,38460,16297123,1277.0
2013-01-05,41,1617,693152,49.0
2013-01-05,43,2272,814780,67.0
2013-01-05,45,360,2945,10.0
2013-01-05,49,446,283934,20.0
2013-01-05,55,18776,4960369,566.0
2013-01-05,56,486,62882,17.0
2013-01-05,57,2802,1047227,81.0
2013-01-05,58,302,72734,12.0
2013-01-05,59,1192,307987,32.0
2013-01-05,60,28,12467,1.0
2013-01-05,61,114,41954,2.0
2013-01-05,62,1326,582946,41.0
2013-01-05,63,1747,709826,48.0
2013-01-05,64,1100,607601,37.0
2013-01-05,65,1412,644440,55.0
2013-01-05,66,755,341179,27.0
2013-01-05,67,2478,443954,71.0
2013-01-05,69,740,340451,22.0
2013-01-05,70,1741,573991,65.0
2013-01-05,71,586,377082,115.0
2013-01-05,72,734,493559,24.0
2013-01-05,73,175,16528,9.0
2013-01-05,75,1582,251197,55.0
2013-01-05,76,110,1654,2.0
2013-01-05,77,663,36368,19.0
2013-01-05,79,166,88585,13.0
2013-01-05,81,204,66760,5.0
2013-01-05,82,535,186860,50.0
2013-01-05,83,725,419698,29.0
2013-01-06,2,1160,242725,35.0
2013-01-06,3,128,52284,5.0
2013-01-06,4,237,84754,12.0
2013-01-06,5,559,89372,17.0
2013-01-06,6,563,156807,21.0
2013-01-06,11,396,168491,13.0
2013-01-06,13,37,47171,4.0
2013-01-06,14,300,107425,8.0
2013-01-06,15,254,49999,6.0
2013-01-06,19,11963,2221634,450.0
2013-01-06,21,4261,992532,130.0
2013-01-06,22,1364,238294,42.0
2013-01-06,23,8269,1081901,251.0
2013-01-06,25,2308,408762,62.0
2013-01-06,28,5202,851111,174.0
2013-01-06,29,737,180212,23.0
2013-01-06,30,20925,4093714,804.0
2013-01-06,31,440,65515,8.0
2013-01-06,33,536,103723,15.0
2013-01-06,35,468,81507,17.0
2013-01-06,37,7885,3343509,253.0
2013-01-06,38,777,305534,24.0
2013-01-06,40,40917,16544001,1452.0
2013-01-06,41,1842,741841,51.0
2013-01-06,43,2223,838010,62.0
2013-01-06,45,557,4423,15.0
2013-01-06,49,376,130737,14.0
2013-01-06,55,20480,5200633,601.0
2013-01-06,56,246,35402,8.0
2013-01-06,57,1871,747215,58.0
2013-01-06,58,400,129669,17.0
2013-01-06,59,333,54688,10.0
2013-01-06,60,144,16759,3.0
2013-01-06,62,2263,928948,65.0
2013-01-06,63,4246,1699564,153.0
2013-01-06,64,1212,532998,35.0
2013-01-06,65,1903,939555,92.0
2013-01-06,66,700,304625,23.0
2013-01-06,67,2025,410666,58.0
2013-01-06,68,25,5417,1.0
2013-01-06,69,703,247153,19.0
2013-01-06,70,2121,675301,62.0
2013-01-06,71,1292,817011,397.0
2013-01-06,72,588,369909,19.0
2013-01-06,73,195,16556,7.0
2013-01-06,75,1784,340129,64.0
2013-01-06,76,165,13026,3.0
2013-01-06,77,656,47844,16.0
2013-01-06,79,49,35434,2.0
2013-01-06,81,140,40044,4.0
2013-01-06,82,512,160174,33.0
2013-01-06,83,389,220882,16.0
2013-01-07,2,468,88713,14.0
2013-01-07,3,299,104568,8.0
2013-01-07,4,460,116858,17.0
2013-01-07,5,453,100594,18.0
2013-01-07,6,483,106106,14.0
2013-01-07,9,12,11370,1.0
2013-01-07,11,319,107911,8.0
2013-01-07,13,18,6666,1.0
2013-01-07,14,130,67141,5.0
2013-01-07,15,434,92682,11.0
2013-01-07,19,6358,1485705,248.0
2013-01-07,21,2279,392846,65.0
2013-01-07,22,1153,164169,41.0
2013-01-07,23,2809,414640,93.0
2013-01-07,25,395,72500,11.0
2013-01-07,28,3366,687897,157.0
2013-01-07,29,891,107759,40.0
2013-01-07,30,12736,2458952,498.0
2013-01-07,31,1210,140251,22.0
2013-01-07,33,326,63831,8.0
2013-01-07,35,365,69862,12.0
2013-01-07,37,6644,3212104,208.0
2013-01-07,38,820,376020,26.0
2013-01-07,40,22884,9619143,680.0
2013-01-07,41,1418,552203,39.0
2013-01-07,43,1408,599267,47.0
2013-01-07,45,233,2375,7.0
2013-01-07,49,489,213676,17.0
2013-01-07,54,110,4663,2.0
2013-01-07,55,13702,3810745,406.0
2013-01-07,56,88,24714,6.0
2013-01-07,57,1444,574803,41.0
2013-01-07,58,358,70086,13.0
2013-01-07,59,689,134683,19.0
2013-01-07,60,28,7419,1.0
2013-01-07,61,14,21083,1.0
2013-01-07,62,690,327055,22.0
2013-01-07,63,831,327225,23.0
2013-01-07,64,628,241724,16.0
2013-01-07,65,1521,725063,58.0
2013-01-07,66,315,160978,13.0
2013-01-07,67,1360,367548,40.0
2013-01-07,69,519,214982,16.0
2013-01-07,70,685,276580,23.0
2013-01-07,71,1268,837960,224.0
2013-01-07,72,550,322854,16.0
2013-01-07,73,366,8813,17.0
2013-01-07,75,1475,240668,50.0
2013-01-07,76,55,492,2.0
2013-01-07,77,124,2782,4.0
2013-01-07,78,55,525,1.0
2013-01-07,79,52,35434,2.0
2013-01-07,81,60,40056,6.0
2013-01-07,82,518,200222,32.0
2013-01-07,83,433,331337,21.0
2013-01-08,2,483,116127,17.0
2013-01-08,3,314,130710,12.0
2013-01-08,4,119,24464,4.0
2013-01-08,5,362,67048,12.0
2013-01-08,6,515,110623,15.0
2013-01-08,9,36,34108,12.0
2013-01-08,11,121,74112,6.0
2013-01-08,14,201,80570,6.0
2013-01-08,15,142,47529,5.0
2013-01-08,19,7303,1632705,273.0
2013-01-08,21,1604,237516,46.0
2013-01-08,22,810,120868,24.0
2013-01-08,23,4198,618829,139.0
2013-01-08,25,555,105469,16.0
2013-01-08,28,3730,721233,130.0
2013-01-08,29,334,63322,10.0
2013-01-08,30,11779,2202823,404.0
2013-01-08,31,330,45805,7.0
2013-01-08,33,317,87753,13.0
2013-01-08,35,250,46573,8.0
2013-01-08,37,6131,2748293,185.0
2013-01-08,38,1036,399779,29.0
2013-01-08,40,21122,8992276,652.0
2013-01-08,41,526,260166,18.0
2013-01-08,43,967,376647,27.0
2013-01-08,45,210,1757,8.0
2013-01-08,49,947,461170,51.0
2013-01-08,54,55,838,1.0
2013-01-08,55,14510,3924810,434.0
2013-01-08,56,139,16788,4.0
2013-01-08,57,1623,475954,43.0
2013-01-08,58,88,20337,4.0
2013-01-08,59,502,188226,19.0
2013-01-08,60,74,20041,3.0
2013-01-08,62,815,368378,32.0
2013-01-08,63,1648,677052,58.0
2013-01-08,64,1156,548943,32.0
2013-01-08,65,1335,572500,54.0
2013-01-08,66,113,77280,6.0
2013-01-08,67,1321,261391,40.0
2013-01-08,69,445,207842,16.0
2013-01-08,70,605,196998,25.0
2013-01-08,71,1056,754164,191.0
2013-01-08,72,398,287258,14.0
2013-01-08,73,258,18386,21.0
2013-01-08,75,1059,174778,34.0
2013-01-08,76,165,3734,3.0
2013-01-08,77,128,21212,5.0
2013-01-08,78,110,1080,2.0
2013-01-08,79,49,35434,2.0
2013-01-08,82,389,133469,28.0
2013-01-08,83,226,154627,18.0
2013-01-09,2,652,141396,23.0
2013-01-09,3,165,78426,9.0
2013-01-09,4,212,35826,6.0
2013-01-09,5,291,50321,9.0
2013-01-09,6,1065,247480,34.0
2013-01-09,9,12,11373,2.0
2013-01-09,11,121,40277,4.0
2013-01-09,14,71,40286,3.0
2013-01-09,15,361,84154,12.0
2013-01-09,19,12711,2312168,496.0
2013-01-09,21,2246,518150,72.0
2013-01-09,22,618,100386,24.0
2013-01-09,23,9141,1108042,329.0
2013-01-09,25,1407,206137,46.0
2013-01-09,28,8229,1562680,314.0
2013-01-09,29,920,210608,37.0
2013-01-09,30,20218,3684397,922.0
2013-01-09,31,550,111612,11.0
2013-01-09,32,308,34255,10.0
2013-01-09,33,532,143623,18.0
2013-01-09,35,669,110613,24.0
2013-01-09,37,8573,3554141,275.0
2013-01-09,38,1123,688189,50.0
2013-01-09,40,33462,13861164,1145.0
2013-01-09,41,1597,584249,42.0
2013-01-09,43,1089,377850,29.0
2013-01-09,45,141,1058,4.0
2013-01-09,49,91,13834,2.0
2013-01-09,55,16974,4836855,510.0
2013-01-09,56,347,37355,8.0
2013-01-09,57,1740,582420,44.0
2013-01-09,58,496,94841,15.0
2013-01-09,59,602,103840,16.0
2013-01-09,61,31,21172,1.0
2013-01-09,62,1865,804828,55.0
2013-01-09,63,1313,688390,45.0
2013-01-09,64,990,412056,27.0
2013-01-09,65,2479,908299,108.0
2013-01-09,66,391,185241,13.0
2013-01-09,67,1824,373608,53.0
2013-01-09,69,1393,577113,44.0
2013-01-09,70,1341,469431,56.0
2013-01-09,71,1186,817011,324.0
2013-01-09,72,1580,791963,37.0
2013-01-09,73,194,4079,7.0
2013-01-09,75,1872,322358,70.0
2013-01-09,76,165,48843,3.0
2013-01-09,77,191,3133,5.0
2013-01-09,79,37,17717,3.0
2013-01-09,81,101,26701,2.0
2013-01-09,82,352,120159,19.0
2013-01-09,83,366,242988,22.0
2013-01-10,2,499,78632,14.0
2013-01-10,3,242,91497,8.0
2013-01-10,4,89,20741,3.0
2013-01-10,5,138,33541,6.0
2013-01-10,6,804,165028,21.0
2013-01-10,9,12,11369,1.0
2013-01-10,11,366,161627,10.0
2013-01-10,14,88,26856,2.0
2013-01-10,15,252,42074,5.0
2013-01-10,19,7365,1275476,421.0
2013-01-10,21,646,88241,17.0
2013-01-10,22,370,53959,11.0
2013-01-10,23,3733,441945,152.0
2013-01-10,25,513,83294,17.0
2013-01-10,28,2135,366973,74.0
2013-01-10,29,146,62127,7.0
2013-01-10,30,10953,2007613,518.0
2013-01-10,31,935,84890,18.0
2013-01-10,32,264,42312,11.0
2013-01-10,33,332,71812,12.0
2013-01-10,35,542,93146,19.0
2013-01-10,37,3948,1935783,130.0
2013-01-10,38,589,311197,21.0
2013-01-10,40,17467,7387392,551.0
2013-01-10,41,519,261644,16.0
2013-01-10,43,1182,434826,32.0
2013-01-10,45,32,575,2.0
2013-01-10,49,745,238903,40.0
2013-01-10,54,220,4374,5.0
2013-01-10,55,8557,2509984,271.0
2013-01-10,56,193,22207,6.0
2013-01-10,57,1552,529527,36.0
2013-01-10,58,240,75423,11.0
2013-01-10,59,174,26637,4.0
2013-01-10,60,42,12467,1.0
2013-01-10,61,31,20994,1.0
2013-01-10,62,743,351726,22.0
2013-01-10,63,875,380537,26.0
2013-01-10,64,684,322366,20.0
2013-01-10,65,785,327763,28.0
2013-01-10,67,739,190251,21.0
2013-01-10,68,25,17093,1.0
2013-01-10,69,920,302870,24.0
2013-01-10,70,562,143075,13.0
2013-01-10,71,1294,817011,211.0
2013-01-10,72,296,245944,13.0
2013-01-10,73,328,6994,17.0
2013-01-10,75,1338,175686,41.0
2013-01-10,76,275,14686,7.0
2013-01-10,77,81,1068,2.0
2013-01-10,78,110,20695,2.0
2013-01-10,79,28,35434,2.0
2013-01-10,82,102,40034,7.0
2013-01-10,83,102,66264,4.0
2013-01-11,2,519,119368,18.0
2013-01-11,3,92,52284,4.0
2013-01-11,4,292,35772,6.0
2013-01-11,5,180,33541,6.0
2013-01-11,6,653,157023,23.0
2013-01-11,9,36,34104,14.0
2013-01-11,11,157,74003,7.0
2013-01-11,14,47,26856,2.0
2013-01-11,15,145,47644,6.0
2013-01-11,19,9191,1280847,453.0
2013-01-11,21,1528,272493,42.0
2013-01-11,22,767,69117,23.0
2013-01-11,23,7617,741587,296.0
2013-01-11,25,253,41623,9.0
2013-01-11,28,5135,724010,397.0
2013-01-11,29,912,120662,58.0
2013-01-11,30,11883,1918439,498.0
2013-01-11,31,605,52389,15.0
2013-01-11,32,335,34252,11.0
2013-01-11,33,443,95696,12.0
2013-01-11,35,523,87331,21.0
2013-01-11,37,9944,4200768,298.0
2013-01-11,38,1879,875334,60.0
2013-01-11,39,27,21641,1.0
2013-01-11,40,25001,10226028,846.0
2013-01-11,41,1220,577899,39.0
2013-01-11,43,1044,337937,28.0
2013-01-11,44,55,342,1.0
2013-01-11,45,174,1346,6.0
2013-01-11,49,1022,479834,46.0
2013-01-11,54,165,38159,3.0
2013-01-11,55,12104,3728414,386.0
2013-01-11,56,180,23774,5.0
2013-01-11,57,1049,357909,29.0
2013-01-11,58,666,174916,18.0
2013-01-11,59,423,60522,12.0
2013-01-11,61,110,60633,4.0
2013-01-11,62,1156,519499,36.0
2013-01-11,63,1499,661719,43.0
2013-01-11,64,1156,566823,40.0
2013-01-11,65,1441,761954,70.0
2013-01-11,66,18,55108,5.0
2013-01-11,67,1536,402818,52.0
2013-01-11,69,1100,492709,35.0
2013-01-11,70,735,253292,23.0
2013-01-11,71,1264,817011,316.0
2013-01-11,72,766,497147,27.0
2013-01-11,73,349,56339,14.0
2013-01-11,75,1674,242014,54.0
2013-01-11,76,55,492,1.0
2013-01-11,77,57,1265,2.0
2013-01-11,79,3,17717,1.0
2013-01-11,82,296,80099,14.0
2013-01-11,83,111,44178,3.0
2013-01-12,2,1292,269725,41.0
2013-01-12,3,1180,250300,48.0
2013-01-12,4,83,11364,2.0
2013-01-12,5,632,95042,17.0
2013-01-12,6,981,196375,29.0
2013-01-12,11,318,127855,10.0
2013-01-12,12,942,206925,88.0
2013-01-12,14,353,127510,10.0
2013-01-12,15,142,39707,5.0
2013-01-12,19,8745,1300764,316.0
2013-01-12,20,2399,273270,156.0
2013-01-12,21,1581,240230,43.0
2013-01-12,22,1040,243585,42.0
2013-01-12,23,7036,896126,227.0
2013-01-12,25,1486,213216,43.0
2013-01-12,28,4916,746699,218.0
2013-01-12,29,966,84338,32.0
2013-01-12,30,16411,2866932,622.0
2013-01-12,31,935,95670,18.0
2013-01-12,32,333,29080,11.0
2013-01-12,33,375,103698,16.0
2013-01-12,35,1282,261980,60.0
2013-01-12,37,10575,4784005,337.0
2013-01-12,38,1836,940743,64.0
2013-01-12,40,30887,12721251,996.0
2013-01-12,41,2066,968088,65.0
2013-01-12,43,1317,510840,37.0
2013-01-12,45,431,3297,12.0
2013-01-12,49,418,100845,13.0
2013-01-12,54,110,1636,3.0
2013-01-12,55,13788,3652895,416.0
2013-01-12,56,329,30856,9.0
2013-01-12,57,1560,486448,39.0
2013-01-12,58,757,157010,23.0
2013-01-12,59,191,29228,6.0
2013-01-12,60,55,22746,2.0
2013-01-12,61,163,81249,4.0
2013-01-12,62,1647,681320,50.0
2013-01-12,63,2216,925856,65.0
2013-01-12,64,1182,542524,38.0
2013-01-12,65,1938,793619,66.0
2013-01-12,66,1074,303739,27.0
2013-01-12,67,2188,391877,65.0
2013-01-12,69,1497,602917,63.0
2013-01-12,70,1026,294756,34.0
2013-01-12,71,1283,879858,351.0
2013-01-12,72,1858,1062397,54.0
2013-01-12,73,385,19266,15.0
2013-01-12,75,1451,238091,57.0
2013-01-12,76,330,71821,8.0
2013-01-12,77,52,700,1.0
2013-01-12,78,165,2225,3.0
2013-01-12,79,4,17717,1.0
2013-01-12,82,19,26702,3.0
2013-01-12,83,234,110441,7.0
2013-01-13,2,841,203279,35.0
2013-01-13,3,296,143781,14.0
2013-01-13,4,207,56319,4.0
2013-01-13,5,765,134149,25.0
2013-01-13,6,739,195277,27.0
2013-01-13,11,367,161748,12.0
2013-01-13,13,28,6666,1.0
2013-01-13,14,268,87134,9.0
2013-01-13,15,262,57379,8.0
2013-01-13,19,7791,1670197,269.0
2013-01-13,21,3069,943772,125.0
2013-01-13,22,1086,232643,48.0
2013-01-13,23,3994,612787,144.0
2013-01-13,25,561,191268,30.0
2013-01-13,28,4949,1018674,200.0
2013-01-13,29,632,129628,24.0
2013-01-13,30,18845,4129545,735.0
2013-01-13,33,266,71788,9.0
2013-01-13,35,392,64041,21.0
2013-01-13,37,5438,2764938,196.0
2013-01-13,38,1657,773401,53.0
2013-01-13,40,30086,15048738,1132.0
2013-01-13,41,2710,1140555,78.0
2013-01-13,43,1840,878560,67.0
2013-01-13,45,329,3136,10.0
2013-01-13,49,258,171656,14.0
2013-01-13,55,13886,4175251,474.0
2013-01-13,56,283,37977,8.0
2013-01-13,57,1290,523687,50.0
2013-01-13,58,238,32278,7.0
2013-01-13,59,460,196715,23.0
2013-01-13,60,131,36836,5.0
2013-01-13,61,118,82410,4.0
2013-01-13,62,1530,714718,60.0
2013-01-13,63,1707,760286,55.0
2013-01-13,64,632,316904,21.0
2013-01-13,65,1562,718301,64.0
2013-01-13,66,1129,445062,40.0
2013-01-13,67,2013,377191,62.0
2013-01-13,69,695,310873,20.0
2013-01-13,70,1378,465612,61.0
2013-01-13,71,27,13598,2.0
2013-01-13,72,802,492059,27.0
2013-01-13,73,200,4802,6.0
2013-01-13,75,2264,395270,101.0
2013-01-13,77,391,31986,16.0
2013-01-13,79,26,17717,1.0
2013-01-13,81,155,66745,5.0
2013-01-13,82,572,266975,54.0
2013-01-13,83,512,353418,19.0
2013-01-14,2,796,172555,29.0
2013-01-14,3,277,104568,9.0
2013-01-14,4,117,41264,4.0
2013-01-14,5,222,44691,8.0
2013-01-14,6,543,172818,24.0
2013-01-14,9,36,34104,6.0
2013-01-14,11,286,134772,10.0
2013-01-14,13,35,6668,1.0
2013-01-14,14,50,20094,2.0
2013-01-14,15,129,37250,5.0
2013-01-14,19,5535,1050961,192.0
2013-01-14,21,1152,406266,59.0
2013-01-14,22,595,109046,25.0
2013-01-14,23,2165,263257,72.0
2013-01-14,25,405,125239,19.0
2013-01-14,28,2696,567684,108.0
2013-01-14,29,262,60713,13.0
2013-01-14,30,10848,2396452,437.0
2013-01-14,33,221,63821,8.0
2013-01-14,35,155,34931,6.0
2013-01-14,37,4009,2311650,154.0
2013-01-14,38,1012,514933,32.0
2013-01-14,40,16167,8199769,570.0
2013-01-14,41,907,571652,40.0
2013-01-14,43,1089,478629,37.0
2013-01-14,45,99,1500,4.0
2013-01-14,49,581,261751,26.0
2013-01-14,55,6834,2288187,254.0
2013-01-14,56,54,1651,1.0
2013-01-14,57,768,287475,26.0
2013-01-14,58,58,20755,4.0
2013-01-14,59,520,122065,13.0
2013-01-14,60,208,32078,7.0
2013-01-14,61,229,121354,6.0
2013-01-14,62,899,418610,28.0
2013-01-14,63,608,267792,17.0
2013-01-14,64,574,284984,19.0
2013-01-14,65,706,280007,29.0
2013-01-14,66,332,191568,14.0
2013-01-14,67,1510,405121,48.0
2013-01-14,69,126,72165,5.0
2013-01-14,70,364,162033,18.0
2013-01-14,72,237,184079,27.0
2013-01-14,73,536,13909,25.0
2013-01-14,75,2101,396001,96.0
2013-01-14,77,114,2336,3.0
2013-01-14,79,31,17717,1.0
2013-01-14,81,95,53402,4.0
2013-01-14,82,558,253640,30.0
2013-01-14,83,276,220877,20.0
2013-01-15,2,951,181732,31.0
2013-01-15,3,290,110220,10.0
2013-01-15,4,270,52814,8.0
2013-01-15,5,316,67101,13.0
2013-01-15,6,433,128694,17.0
2013-01-15,9,36,34104,15.0
2013-01-15,11,312,114508,9.0
2013-01-15,13,59,6666,1.0
2013-01-15,14,70,40290,3.0
2013-01-15,15,168,55475,6.0
2013-01-15,19,7067,1408668,352.0
2013-01-15,21,1679,393566,57.0
2013-01-15,22,674,135890,22.0
2013-01-15,23,2305,360966,109.0
2013-01-15,25,92,32951,5.0
2013-01-15,28,2817,534253,107.0
2013-01-15,29,373,67927,12.0
2013-01-15,30,12568,2569969,510.0
2013-01-15,33,168,47861,6.0
2013-01-15,35,238,40756,13.0
2013-01-15,37,3332,1644726,116.0
2013-01-15,38,898,480898,34.0
2013-01-15,40,19935,9756414,705.0
2013-01-15,41,1257,586722,38.0
2013-01-15,43,813,463323,40.0
2013-01-15,45,156,1141,5.0
